Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
22IPAUMSR6Y65HUO3OQ3XLFADSSZTJ7FUUFGUX7OUS2IKBFJO5CDJ7QBFQ,95,"2/23/2023, 4:00:45 AM","7/7/2023, 10:02:43 AM",10349122.895,0,10349122.895
26LD4AEPC4IL6JKA3E33OSHJEX6KQO7KDJPFBIYZQDTZV3UPGO6CVKQNSM,2,"3/2/2023, 4:00:31 AM","6/29/2023, 10:34:13 PM",10095.538968,0,10095.538968
27PY23JHEKABQCGTGNOGSEXFXZGCEKRZNVC5XIUIYFUNJ7XDYJURE2CX3Y,3,"2/14/2023, 8:55:41 AM","3/2/2023, 4:00:42 AM",6363.6751,0,6363.6751
2A3VTAROLDIQJK6W3BGSO6FDAXQI3RUO4TPCAMYJCMNA6RMYFQHOOL76K4,2,"3/2/2023, 4:00:13 AM","6/29/2023, 10:49:17 PM",2215.009386,0,2215.009386
2BSAG6TUH7OR7SBEMK2ENRGF4W2FVNZ7J3X5N56IN6E6XFMJRXMCQLPDNY,2,"2/14/2023, 8:55:12 AM","3/2/2023, 4:00:05 AM",397.08737,0,397.08737
2BVOI5CKRRKYU7GZJCW6NQ7MNY67MRV6YIM22FMWYUBPXRXPBORXJ3472E,4,"2/23/2023, 4:00:34 AM","4/19/2023, 5:57:21 AM",168124.988,0,168124.988
2CWN2EIO2GPTPWBVZYN4SWAYM2ONFRXAGNCLB7UE4MZQTDM275QSHAPKYU,3,"3/29/2023, 9:24:08 AM","3/29/2023, 9:34:07 AM",146212.973,0,146212.973
2F3IFEAT5ZV3YOGX2YAVI7EO5ZTCHT6VHQHNQJJFM7RFD4UPWLE6Q3DXRY,4,"2/14/2023, 8:55:52 AM","6/29/2023, 10:54:28 PM",3706.240953,0,3706.240953
2FBKENFTYBSQUCBWYMNKYRW53Y6NXUHQCSJHCLROSFZJLC6OJ5EQXNVHCQ,1,"2/14/2023, 8:48:40 AM","2/14/2023, 8:48:40 AM",1612.75345,0,1612.75345
2HS5MWEBRAYPXIJPN4VA7AAH4OENW2CXWWDGH5ACZQE5FPLX3XBR7G3X7Q,1,"2/23/2023, 4:00:08 AM","2/23/2023, 4:00:08 AM",896.018844,0,896.018844
2JRXGVC7FMEO67SI2QOS4C25QT2HKMMMCWEMK5HOQXWYXPLPZRW3OXFIL4,1,"6/29/2023, 11:09:24 PM","6/29/2023, 11:09:24 PM",150.9875,0,150.9875
2SPFF67GYXUS56HYLZIV5TTNBR2JHHU3WXOW2KDTMBCOF6AUXIMZLA6PEQ,1,"3/2/2023, 4:01:30 AM","3/2/2023, 4:01:30 AM",1985.49141,0,1985.49141
2XCIK4PBOH66TIUFTHW7Y5J3BZOV5M52R6NMXNS2O54BSQ5MT27IHAI6JQ,1,"3/2/2023, 4:00:31 AM","3/2/2023, 4:00:31 AM",4525.374394,0,4525.374394
2YNKWR2CCR7LQMOQ72AQJD2TW5LKTANRK7HZI3DBU3PML3TKS4VIPFULOU,2,"3/2/2023, 4:00:39 AM","5/6/2023, 10:18:42 AM",40406.847696,0,40406.847696
32A5ACO5EW7E3OGEQ6VKNUGOXLIEUJJUCLON7NMUGTTYVVRG525BGXKDTI,1,"2/14/2023, 8:55:19 AM","2/14/2023, 8:55:19 AM",421.115343,0,421.115343
34DEVE6VW4REYRRD32VICVB2M3HR7RAKPKYRDSJHC7W5DAAOBDN6Q2AWYU,1,"2/14/2023, 8:48:29 AM","2/14/2023, 8:48:29 AM",10.190321,0,10.190321
36UTTPWZTUTY4VSI3YTR3RTWAP3EIOPDVG4DWZR63IOIA2GSUVVX7DZCIY,1,"5/25/2023, 5:20:07 AM","5/25/2023, 5:20:07 AM",21989.846773,0,21989.846773
3B4AUWOMVVCADEJUGQOCLMKVWGCEUISOSLZERJEPJVS6GTPF5TECNFXVLY,1,"3/2/2023, 4:00:31 AM","3/2/2023, 4:00:31 AM",1707.282,0,1707.282
3BD7GORDHOB2W643ZXRF466SCFMUAWNQOYRHLDAU35SXN4YVNOQWTHTBGY,4,"2/14/2023, 8:55:41 AM","6/29/2023, 10:54:25 PM",5342.530821,0,5342.530821
3DOUTWN7OY5Q5E2KIBKONW4C5D7WALVDVDY5A6H2TUQY5HV4OCIBTLYZCE,4,"2/14/2023, 8:55:41 AM","6/30/2023, 12:19:22 AM",1020.98223,0,1020.98223
3FDQR6VZTRCWNEYMVNSNSMHPVFMJZS7BLNW4QNHE7A65ICBQGACVPDCNGA,1,"2/14/2023, 8:55:56 AM","2/14/2023, 8:55:56 AM",399.889,0,399.889
3H7LAOY6DV5MIBCJWMGDBR25VJJA5KYBEAT74SSHR5MA5RCF4ZN5PJSK2M,1,"3/2/2023, 4:00:16 AM","3/2/2023, 4:00:16 AM",306.684,0,306.684
3HZ7I7HVZRQ3DVAXE27TGIIB5DDHDKK3R54MER4I2HMKF7UIVV3S2RAKPU,13,"3/6/2023, 1:10:19 PM","7/7/2023, 4:32:37 AM",1304564.883,0,1304564.883
3N2GGU4D22MRYLZJLXSYY7G72K2O754HUY3OY5KS6JNR4MLOTBZ5LLYMNU,2,"6/29/2023, 10:49:24 PM","6/30/2023, 12:19:22 AM",750.244,0,750.244
3OSL4DXGI226SN7T43JLWS2SEZ7PGYPWFL53TIMMJXRZJNNXNFORMX4NRE,1,"4/6/2023, 7:47:54 PM","4/6/2023, 7:47:54 PM",13492.485,0,13492.485
3PUM3QCULIVEIGACTFVSMIW6HQPEKNHZPNYKQK5QN7OVLQ4JL2ZBNJCPR4,2,"2/14/2023, 8:56:00 AM","3/2/2023, 4:01:01 AM",17944.004,0,17944.004
3RRNOQBVXNMV4HE2I2SJHUB4PTF552F3M5ARXPW55GTDJ67VJWLBXYJ53Y,1,"3/2/2023, 4:01:30 AM","3/2/2023, 4:01:30 AM",183.298724,0,183.298724
3SJWJ52POOANM6VMEDNZBKGKPKNYZAA6GBQDPQVRYNSJSVU5UATMNLW33E,2,"3/2/2023, 4:00:39 AM","6/8/2023, 5:43:19 AM",14307.302386,0,14307.302386
3SOHQFEE7IFOD4DSPAM3ADLNXDRAC3KK2GBWXZOWFRY3C6ANFPZQTNCPMA,1,"2/14/2023, 8:49:17 AM","2/14/2023, 8:49:17 AM",511.471,0,511.471
3XCXWB5XSFGFU3ASKBCTOCI7FEFVBGKAPDIUUTKEWQZVGK524SQ2X6I7HM,1,"3/20/2023, 8:16:02 AM","3/20/2023, 8:16:02 AM",13300.997,0,13300.997
3ZMFAOQZ7QXH7M7PUPQHPYAZY5UG4AOPFHB6WPCCAATIAYSRAFVJ2VE72U,1,"3/2/2023, 6:01:19 PM","3/2/2023, 6:01:19 PM",16075.899,0,16075.899
423BFHNDZ5CHEHVNZRPKEF6LVYZY37TYTPKVK7NLT4SXO3GPP6RUPIQGKM,1,"2/14/2023, 8:55:49 AM","2/14/2023, 8:55:49 AM",1052.280008,0,1052.280008
42HAVABFWPPPNUXS43OZW5EP6KAXIEK7WMJAXTO2AFCXG65E33JOUTCQTY,437,"2/14/2023, 8:48:11 AM","7/7/2023, 10:02:43 AM",94847412.018771,0,94847412.018771
43IX2AYC6RGYSDCSMD7CRQIT5XJQHKA2PFQOVNNMEGD47AUOKLGQ6STWJI,1,"3/29/2023, 9:34:03 AM","3/29/2023, 9:34:03 AM",103679.208,0,103679.208
4457OT5CLPAJT2I3XSFP7UOWUFJ4FZWAPQYXY4DW66SG3YJAIHV4MXDPNQ,1,"5/25/2023, 5:19:59 AM","5/25/2023, 5:19:59 AM",588057.2754,0,588057.2754
44MUB7ROYBE2IMWM57E76QU2MXFKJ4FI3SSMHKATBUU3KSGBAENVEUPMCI,1,"5/27/2023, 11:27:34 PM","5/27/2023, 11:27:34 PM",11095.213571,0,11095.213571
45A427NUAGYLSKMKYQ6422TGAOJ3FG2STZ4OQKRY6MPEWHVGIKIDZSVIPE,1,"2/14/2023, 8:49:17 AM","2/14/2023, 8:49:17 AM",129.921296,0,129.921296
45FUIHCP73YPVENMJQ5VC63T4AU3P7BIACVBLYTLGJCHOQYP2KMZOOXS2I,5,"2/14/2023, 8:55:49 AM","6/30/2023, 12:34:17 AM",67069.929583,0,67069.929583
46HLLI44NMI3COG3RQZBYW3FZHUW6PZ6FQW6B4L2PFVABOJDHF6GY4K63Q,1,"3/2/2023, 4:00:53 AM","3/2/2023, 4:00:53 AM",747.10533,0,747.10533
46KCFHAFCIXW5HNG73DXFTBCG6AAXQVYFHKSAP3PSHLSVBIEAIYDLBL7PU,1,"2/14/2023, 8:56:11 AM","2/14/2023, 8:56:11 AM",1010.979,0,1010.979
4G5T2D46RSKBWWXVKKGTWFWQZPPCN335BWLKBWIRAU6WBGPXT2FRUP5ZOI,1,"2/14/2023, 8:48:11 AM","2/14/2023, 8:48:11 AM",10.590886,0,10.590886
4IAQTSE5ZUTG2A7VMPMM7MBKDG6YFNW5R6DY75Z7RVWJR3UWBPYJOBVWVI,4,"3/29/2023, 9:24:08 AM","7/3/2023, 4:51:49 AM",185526.051955,0,185526.051955
4IE7MGS4XEGL22K5Q6XMMM3MGXM7F5MPXKXND2VFBTKHX5CGDL6RUUP4KU,1,"5/1/2023, 3:27:05 AM","5/1/2023, 3:27:05 AM",34404.712878,0,34404.712878
4J6MNTW6J4UPQD6KK5PFE32ZGFBJBLHF32RMEIOAZ2AK6VGN7WYAOUJ5LM,1,"2/14/2023, 8:49:13 AM","2/14/2023, 8:49:13 AM",240.767965,0,240.767965
4L5RAEPJZ46FD5CKE5K2VWOCUTMSF7BY5PW6U4524GC4O5A5YFOSZ2PANE,2,"4/20/2023, 5:17:57 AM","4/21/2023, 3:24:01 PM",100805.982,0,100805.982
4LSK7Q56S6KN5JK6T5VDMTBARKOHWDBH3UPCPS4KSLOE5KMS5AR24RLA2A,2,"3/6/2023, 1:10:23 PM","3/29/2023, 8:24:05 AM",122344.415,0,122344.415
4PYZCBVOIFIZMWMOHU7DLUT6LDCQJ4PIXUS66MPZRDIQ7JJAYIDMLEJTVI,2,"2/14/2023, 8:55:12 AM","3/2/2023, 4:00:09 AM",977.132837,0,977.132837
4Q26RN52RHMCHACDVI7YPNF3EZCZ3IKW6NW3632RAUL65JEZT2RY6L2OFI,2,"3/6/2023, 1:10:23 PM","3/22/2023, 5:51:50 AM",122399.982,0,122399.982
4QLSZ2OBPDUJ27QQ7EIX52ZNVYIUJIXG6A7G57NFY2OSAPFI5DQOWMZHDA,4,"3/6/2023, 1:10:23 PM","4/7/2023, 3:42:56 AM",123750.748,0,123750.748
4RAEREBPDG2ARC5XRBVV6NX4FR6TXW7BJPYCO2TEIKJ4RHVF2ESTEE4GPA,1,"3/2/2023, 4:00:20 AM","3/2/2023, 4:00:20 AM",609.031562,0,609.031562
4RQPV4BXTMTH4OLIBVDCBUAMINPIWBQ3VIVIVK372JVKMZOXSX52CYSSS4,1,"2/14/2023, 8:48:00 AM","2/14/2023, 8:48:00 AM",17.680893,0,17.680893
4SKF4KKM65G27E24KIH7YWVHJKWRGAGQVTRXVDJFPFXVKIS3P42VEOV3ZI,1,"2/14/2023, 8:48:03 AM","2/14/2023, 8:48:03 AM",16.142405,0,16.142405
4WFDTFNOU25QHZ2MJLKSNRGHHF3IOURPFNBSJYMU6PZ2VQMWYLW4CWTM2Q,1,"2/14/2023, 8:48:25 AM","2/14/2023, 8:48:25 AM",588.65812,0,588.65812
4WTS7JF7C6VSQ7R7PLLRMZKULVDFCOSFYNRO53FSXDWVUL2C4T7VDVLPX4,1,"5/26/2023, 9:26:31 PM","5/26/2023, 9:26:31 PM",122854.814444,0,122854.814444
4WXMKT3YQSIXIV5P3II3P25OD22FQMQTUQJJNFI6DO7PKPG44MN4BWKK6Y,2,"2/14/2023, 8:55:56 AM","3/2/2023, 4:00:57 AM",738.811532,0,738.811532
4XOXSBFFA7K3CXD4TBUQB3JEPGL7HSL5GLB33PH6LMCVXU3GULL2XVQIIU,1,"6/29/2023, 10:39:12 PM","6/29/2023, 10:39:12 PM",2817.171,0,2817.171
52R54OJSCK2O4J6QKG6T6APSKZAGDGQX26X4SO7PPRMJWU3UPQXEI3JQRM,3,"4/19/2023, 4:32:17 AM","5/11/2023, 4:16:57 AM",314324.973,0,314324.973
53KN73NPYPWMQZ4ZF5ZQSOSV3SYJQ2A4ZDFA7VWYCOCW3EJMW3735J7MRA,1,"3/2/2023, 4:00:31 AM","3/2/2023, 4:00:31 AM",4067.616092,0,4067.616092
556HS5I22H24DU66HYHRJFKVD5VU3JVUXYTDYRTEJQWODMRG5JOX2RGNVE,38,"2/14/2023, 8:48:14 AM","7/6/2023, 7:27:22 PM",5156127.908477,0,5156127.908477
55XHJTWDAUQNLYKJ3K55OWLIXPNF6YEXZFKHI2P4POGIGPUAMFE5RBAWTY,2,"2/23/2023, 4:00:23 AM","3/2/2023, 4:00:31 AM",2185.602877,0,2185.602877
5BCRUMEKZ3XDL42HZKA6RHLSVFIK6X3XRVREHL4UJS4OWBPOF4GCOL7PRU,1,"4/6/2023, 3:22:40 AM","4/6/2023, 3:22:40 AM",31472.183903,0,31472.183903
5DMWWOAXLROLEKGXWZ734ALTP4BNT34WP77UK4XEJ5NUIWASUTMGTNLHYQ,1,"2/23/2023, 4:00:30 AM","2/23/2023, 4:00:30 AM",228.185406,0,228.185406
5DN2PTJUTK4AP624BS47IB65X44NCWTXNMRALQPTHOWHS2A6VCGFJV7I74,1,"3/2/2023, 4:01:27 AM","3/2/2023, 4:01:27 AM",999.899,0,999.899
5FUVHDVW3SVM5TQO5WM6Z4I5ZZ543JNFJIETCWSIK75EMT2GNBTKEZZBSI,3,"2/14/2023, 8:49:02 AM","4/21/2023, 1:29:02 PM",37949.359394,0,37949.359394
5GBHCN23BQZRF3WCFS5XV3EIXRB2DKW2UJHC3IKZMTPKAA3KHNN3T2NWLM,1,"4/6/2023, 3:22:36 AM","4/6/2023, 3:22:36 AM",209999.899,0,209999.899
5HPMBGEWZTYHPUQ2TRSQN3VLHKMLJ6GVQQEKMWF2TDAVGU3CWIJAFL5UEI,1,"2/14/2023, 8:48:29 AM","2/14/2023, 8:48:29 AM",79.327273,0,79.327273
5IIUFHGWE7JV4B7QA4CNBUTWRINF7T62R6BWWXHVI4M4VGOHNZLXP4UWD4,1,"6/30/2023, 12:19:19 AM","6/30/2023, 12:19:19 AM",80634.770589,0,80634.770589
5JR75N52RVBK5XJO3V563XOZJPVOMQ5FTZ5QWUIMTUCEY6Y3LDP5SQRMQU,1,"3/2/2023, 4:01:34 AM","3/2/2023, 4:01:34 AM",28.439275,0,28.439275
5KP2Z6QLAKPBWB2IERET4QTVL6IMF774HXBVXY2EV4C46ZXMKVG3LYRJ3U,1,"2/14/2023, 8:56:15 AM","2/14/2023, 8:56:15 AM",1398.237044,0,1398.237044
5KSGHW4FLH7XFPWVXOUDH43NGBEAQRV5DHFQ656R4CW24TO4F5I2KXX6ZM,1,"3/2/2023, 4:00:46 AM","3/2/2023, 4:00:46 AM",963.24522,0,963.24522
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,4,"6/11/2023, 5:11:36 AM","6/20/2023, 9:45:46 AM",0,28900000,-28900000
5OELHOFWJHZ4KEQDT7CM7JNWINJ6A3PX5VSIBMP42OUVX7KHY43RHDL2PI,2,"2/14/2023, 8:55:38 AM","2/23/2023, 4:00:23 AM",7948.962587,0,7948.962587
5PSZ52ACOMUS34QUDTUVZ7U4FP3S7WWNLLJFNAWU4PSRBQNMRJ4KZAK73I,1,"3/2/2023, 4:01:04 AM","3/2/2023, 4:01:04 AM",2499.999,0,2499.999
5QDUEWFYQV5EHTJTFEPVHVZ4PWMHDJEKVMV75UZMGXODDQ4UKTAK3VLHLY,1,"3/2/2023, 4:01:23 AM","3/2/2023, 4:01:23 AM",143.658,0,143.658
5SK3L3BTVUITUNSEV63R3ABRA35PZAKEHT2MQS7VDOTWQRPKZP4QZO3VG4,1,"2/23/2023, 4:00:45 AM","2/23/2023, 4:00:45 AM",209.409536,0,209.409536
5T4XZTQSI6HZIF5UJJERH7GNOWCY6LBZ3RKNSMAWTVPABXYS55UMT5OAIU,2,"3/31/2023, 6:29:30 AM","6/30/2023, 1:34:19 AM",7602.389077,0,7602.389077
5UJMEPGXFFWRIX6CNRGHG5ZKGPHR7YB4SI346RFJK7D5AGKYVJWUV4FYYQ,1,"2/14/2023, 8:49:13 AM","2/14/2023, 8:49:13 AM",27.754349,0,27.754349
62P7RNFNTZXCWIZDO2JUR5SMDVZUO53N37KPPVUIJEZHPVBEIEWVEVKSXI,1,"6/29/2023, 11:09:27 PM","6/29/2023, 11:09:27 PM",131.859,0,131.859
63K2LJ2ZD4LO3YVDJNBZWFT56YLHGUVMSQUUXYDNJNNINJ6SKASKM6AW2M,1,"6/25/2023, 1:36:11 AM","6/25/2023, 1:36:11 AM",21306.791005,0,21306.791005
63UF6F55TNCEZY2BSLNYSMU4SFXWYNYUBNPNZ4BAAPYEYDNJZRHU5EALNY,1,"6/30/2023, 6:59:33 AM","6/30/2023, 6:59:33 AM",3419.568,0,3419.568
65Y7ZJRFK7SQLBZXLWIFQZXBE6UTM6SHHWIUG4XA6DQFAKGBCOO3G7YYX4,1,"7/3/2023, 7:12:13 PM","7/3/2023, 7:12:13 PM",436304.441238,0,436304.441238
6624MXPKUD63F5UPIF5EN3HZK2G2CXRGGDTQOXY2BCY2YD3ORXZNFNEQQE,1,"3/22/2023, 5:51:47 AM","3/22/2023, 5:51:47 AM",158507.891,0,158507.891
67DIFS3SZFL2TOWLWQLUDQHPVIASQHIEYEHFBV2X55MQ2PGJDH5J4F4RDE,3,"3/2/2023, 4:00:42 AM","6/29/2023, 10:54:28 PM",4101.513223,0,4101.513223
67K5NBQAHRIALTLMUNYSPZOHJNEYMKUNR45J3WOULVSNXJAKSI74NBJHR4,207,"2/14/2023, 8:48:36 AM","7/7/2023, 10:02:50 AM",2294003.793,0,2294003.793
67RMYNAAJVZNGYZNNLJAUID4AHA77E7YWFQRO2F6PCGLXTSAXYX6Q4V4MI,1,"3/2/2023, 4:01:08 AM","3/2/2023, 4:01:08 AM",255.407457,0,255.407457
6AIDQZ26FAVBM7VRSHB5Z33DQTH2BZX4JLXFAMDJHHGEZ2A7JNGTLRB3Z4,2,"2/23/2023, 4:00:49 AM","3/2/2023, 4:01:12 AM",2239.643834,0,2239.643834
6BMX2CYQFLBPOWCBEGBQYYBK7AY42FGWRE6L4LEUWSTD4ZA3OUAOTFFICM,1,"6/29/2023, 10:09:13 PM","6/29/2023, 10:09:13 PM",14104.627618,0,14104.627618
6CLAORLZLECGCQLW6FAOGLOXEUWIQEOZN5WY4IGM2G23JMVYITPEIIR3CE,2,"2/23/2023, 4:00:49 AM","3/2/2023, 4:01:19 AM",7962.710448,0,7962.710448
6EQOOUP2TZQ2C3STQCOVT7RPHVY2Q65DLT6XWRIC2MXTS72NX25SVCAYNU,1,"2/14/2023, 8:48:00 AM","2/14/2023, 8:48:00 AM",14.641799,0,14.641799
6FJNM3YWKM6W7RYQQCDBVNBZ4PPR2LO5DYRUDY7RFXEQ3NEPFQWLJCBPNM,1,"2/14/2023, 8:49:20 AM","2/14/2023, 8:49:20 AM",177.515343,0,177.515343
6IMAMKSB2QMAVBTOFMXSUEKDNN27BYNFCMVKNCWOCZEMNYDCHP5EKV627Y,1,"2/14/2023, 8:56:07 AM","2/14/2023, 8:56:07 AM",1661.328,0,1661.328
6KFSJF3RW6UBGBPJ3IP4YNWU36D2TM4TUIR3ZV3ARIGVAK6FQJDKRIC66U,1,"3/2/2023, 4:01:04 AM","3/2/2023, 4:01:04 AM",4788.907118,0,4788.907118
6KTBZGCY6AY2U3JPLXTFGP2OMJCVY5R7XOFYYXZNTC5QZV2F7P7F6XMNGY,2,"2/14/2023, 8:55:26 AM","6/30/2023, 2:19:28 AM",681.642766,0,681.642766
6L676H4IF3TV2AOYWS2JTCG7R6FWCZFBGMKE5DCZ3RIGW4RKPUVY2KANWA,1,"3/2/2023, 4:01:01 AM","3/2/2023, 4:01:01 AM",251.126381,0,251.126381
6LKC2LM25IIU4G27YURU3WFFZSEUYOEO56SEUUPL2C4WK52X3WJPUNGYKI,72,"4/19/2023, 4:42:37 PM","7/7/2023, 4:32:37 AM",3801709.496,0,3801709.496
6MTZOYZW5UX7KDWDTMR3QRISPZCMW7OM3FBFOUZPEYDL2NAASB5KMFGNQE,3,"3/2/2023, 4:00:42 AM","6/29/2023, 11:09:27 PM",645.319,0,645.319
6Q5MSWRSKGHCBFNY4ICNN76DFT57KGD4QICGCD2OMZ5M2PSGLVFARZE3XM,2,"2/14/2023, 8:55:30 AM","6/30/2023, 12:19:19 AM",249.673358,0,249.673358
6TPSAHUY2UAPMXFFOGRRIE2BBK5UMRRASPXF5VHVPJBET5FJNDUJPGYCQE,1,"2/14/2023, 8:55:12 AM","2/14/2023, 8:55:12 AM",663.224745,0,663.224745
6TT5TIOLIVOXS5V32DHWRXLVIJ6YGSKQHLXBTGBFN6UYTRB6WLSUJIDIMM,1,"2/14/2023, 8:48:00 AM","2/14/2023, 8:48:00 AM",10.139234,0,10.139234
6U2ET3IMC42SNWOPPNEVTTNLJRBJ6DBD7AMVFE6MUS6TSCV5ZDOFXSZSQ4,1,"2/14/2023, 8:56:18 AM","2/14/2023, 8:56:18 AM",9.991,0,9.991
6V5AVZTNRQRBOI6ULZOOPZS7ONELPF3UXH2RWY4YCWA3CNSROGIXBV3CE4,1,"2/23/2023, 4:00:41 AM","2/23/2023, 4:00:41 AM",2713.14839,0,2713.14839
6VHFPJ42HTG6NDU5I7Z2KKSJRFGJXJLWUBMPX5MITFTRHQKTHKTA2VYHTQ,2,"2/14/2023, 8:56:22 AM","3/2/2023, 4:01:19 AM",567.142077,0,567.142077
6VT5ZAGCP63NQX6U7JED3EX7PFZUT5R4EEAZNP2ASPUWDR6FFYU5C3A3P4,29,"2/24/2023, 5:34:21 PM","7/7/2023, 10:02:47 AM",797587.971,0,797587.971
74P6JFCST4PG4WSIGSWVAFTBU4T4EW4UJUIDNXVJH7FRURCEL7KLOYCZBE,1,"6/29/2023, 10:34:13 PM","6/29/2023, 10:34:13 PM",3202.631,0,3202.631
7BFCOUVDPYTQHSXUQPT36OZ3KKX6HAQPPU54WMTFLYAHQLZC6NQARDZICM,4,"2/23/2023, 4:00:05 AM","5/6/2023, 10:18:42 AM",278728.419471,0,278728.419471
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,2,"2/13/2023, 2:04:36 AM","2/13/2023, 2:08:14 AM",243221441.172776,0,243221441.172776
7ER3RTNSXWCUYTHV3HPOLEEFQERWC47T4VQMHL43VDHNUHP4G42VPG37HM,1,"3/2/2023, 4:01:30 AM","3/2/2023, 4:01:30 AM",34754.8785,0,34754.8785
7HJ7M34IZRYB53BDS2PYHJIBZRKDEYXFB5TC6FD56J6BMJRYCTRNIEZG2I,112,"2/14/2023, 8:48:58 AM","6/5/2023, 8:46:31 PM",1348169.494,0,1348169.494
7LAMFBW4NJVUJB2NZ6XZRCIWORVF7DF6IZBWUZHXSL4I6GM7HTHCMNCLAA,161,"2/14/2023, 8:49:13 AM","7/7/2023, 10:02:47 AM",3767223.041866,0,3767223.041866
7NJCY2RWP2WCXYNTW3CBGMKP65OOFMDFMWUJXEGHFZTYW77NFXFDTWXJZA,1,"3/2/2023, 4:00:16 AM","3/2/2023, 4:00:16 AM",2530.99748,0,2530.99748
7NPE3B7LWL4QWSFZCE3WQRL5DD744UJHGIQO7TNGUX3KGUI4GDQ6DIGEAU,1,"3/2/2023, 4:00:35 AM","3/2/2023, 4:00:35 AM",913.884491,0,913.884491
7OI5SBQG2LWUYU2YNO7POETYKADTHPQMB2F4NQXKHMGOQL3BYRKXMU7WWU,1,"3/6/2023, 1:10:19 PM","3/6/2023, 1:10:19 PM",128380.991,0,128380.991
7Q64CBCDBDUUXLTWBQQNOIDE7NXFTVSMOKKKJJMK42ZD5SVN3HHTGOZFKM,1,"2/14/2023, 8:48:18 AM","2/14/2023, 8:48:18 AM",316.389353,0,316.389353
7R7JWJKQFYEE62TD3QSQCEBFGICXZ4U4LAX5KWKNJ7N7RSHS33PG3JYEGM,1,"3/2/2023, 4:01:30 AM","3/2/2023, 4:01:30 AM",130.846186,0,130.846186
7SDQZX4UOGOT5N6SYLMM2CTQB6EFSRTKZPLAHZKI3EZZCQZK23YMHBDJPA,2,"3/2/2023, 4:01:19 AM","5/11/2023, 4:17:00 AM",56549.460007,0,56549.460007
7UHII7VXIO2345NI7SNBYYI5SHYEEGV63IAJW6RMRD5KY724FYAGWXZHKY,1,"2/14/2023, 8:49:17 AM","2/14/2023, 8:49:17 AM",61.002047,0,61.002047
7Z2NESADUMBKKAYEVCHOC5WQVFZHGJ22HY5U3PV4KYVC5XUDO6AVXXKYPI,1,"3/2/2023, 4:01:08 AM","3/2/2023, 4:01:08 AM",577.434253,0,577.434253
A23CYUFYG2NT4HUAEFR3NWA7A4CLGQLQE5Y5I5YSVEUI6EJ7TUZDLU6TMY,1,"3/2/2023, 4:00:16 AM","3/2/2023, 4:00:16 AM",2167.004195,0,2167.004195
A2Z5A5K7EOB5XMXO4SZUVO3K7AG5CA532UTJILKVC2I6WNSDNRP5RHZJJ4,5,"2/14/2023, 8:55:08 AM","7/1/2023, 7:45:36 PM",57993.529542,0,57993.529542
A3AUVIJRMBSJAIUF5ALHKVTUL7UODCJN3LAPN4JU4AABHJEWPCGEBU3LGM,1,"2/14/2023, 8:55:49 AM","2/14/2023, 8:55:49 AM",165.212353,0,165.212353
ABPMMHK4GUPLW4ZRPJBJSROXX3TOPD5XOZNH3VMVRWQ2ODG64S4IBG7Q34,1,"3/2/2023, 4:00:57 AM","3/2/2023, 4:00:57 AM",164.991,0,164.991
ABSPVUZ7Q5FTR7PM2OWSRFFJCO7NNBXLNQYCBMROSE5K2GPYQZFMOLKTWM,1,"6/30/2023, 5:44:29 AM","6/30/2023, 5:44:29 AM",161.983808,0,161.983808
AD5YKQOPWJTC3477MNAIYQRVSO3A2JEUSLQZQWUT5HTY6PBWTT2E2KSUDU,1,"3/6/2023, 1:10:23 PM","3/6/2023, 1:10:23 PM",40882.068,0,40882.068
ADVAG3H4P53LSRJ7GDTBOD323NP7WAFWAIDP64KA7EZJ545EXPMXQPDHY4,1,"2/14/2023, 8:48:51 AM","2/14/2023, 8:48:51 AM",748.513725,0,748.513725
AGBA5ALPQ73Q4UBL52OWI6YN3NTDIHRVCU44ZGCR34NMLK4IJTSYZTBEN4,1,"2/14/2023, 8:56:15 AM","2/14/2023, 8:56:15 AM",3232.899,0,3232.899
AGHWMYCYZIQI7GLPU6ACBHUB25EJ4IFGXENYL2AZZZNYQL4VCQLSH3JKTU,1,"2/14/2023, 8:48:44 AM","2/14/2023, 8:48:44 AM",11.926452,0,11.926452
AGYF6TBWSLYOPCZ5ZWDVPYF4SXB53CBWHTOYKK7Y5XXFY7YWIPFCDUBQJI,1,"6/30/2023, 3:14:27 AM","6/30/2023, 3:14:27 AM",643.620619,0,643.620619
AN3IQEKDLYGFUFDB3NYSCQ3DVLZ64LKHQRW6SAYBKHRC6QDS5H5RQE7ZDU,1,"3/2/2023, 4:00:46 AM","3/2/2023, 4:00:46 AM",1427.991,0,1427.991
AO2NFINYS6VALESITGBLS7LAHGKGYLFGK35G5AMLJGQYNQ53AKC7VLCDNM,1,"2/14/2023, 8:55:45 AM","2/14/2023, 8:55:45 AM",1014.076997,0,1014.076997
APXHY6QSNYFRMP3L6LXBLR2KUYCATXECFDGFNT2BHHF3WEGWF2HEI3SCGI,16,"3/29/2023, 8:34:04 AM","7/7/2023, 10:02:50 AM",252086.88,0,252086.88
